step,completed_agents,J1,J2,blocked_agents,step_time
0,0,681,13,0,0.0015382766723632812
1,0,675,13,0,0.005047798156738281
2,0,675,13,0,0.005321979522705078
3,0,675,13,0,0.0041887760162353516
4,0,675,13,0,0.004511117935180664
5,0,677,13,0,0.004918575286865234
6,0,677,13,0,0.004635334014892578
7,0,677,13,0,0.0045969486236572266
8,0,647,13,30,0.0048902034759521484
9,0,647,13,0,0.004912853240966797
10,0,647,13,0,0.004559516906738281
11,0,647,13,0,0.004801511764526367
12,0,647,13,0,0.004688262939453125
13,0,647,13,0,0.0014374256134033203
14,0,647,13,0,0.0045201778411865234
15,0,647,13,0,0.004568815231323242
16,0,647,13,0,0.004587888717651367
17,0,617,13,30,0.005006313323974609
18,0,611,13,0,0.0064313411712646484
19,0,611,13,0,0.004607677459716797
20,0,611,13,0,0.004868984222412109
21,0,611,13,0,0.004530429840087891
22,0,611,13,0,0.0052225589752197266
23,0,611,13,0,0.004515886306762695
24,0,611,13,0,0.004688262939453125
25,0,611,13,0,0.004632711410522461
26,0,581,13,30,0.0047376155853271484
27,0,581,13,0,0.0050640106201171875
28,0,581,13,0,0.004627704620361328
29,0,581,13,0,0.004582405090332031
30,0,581,13,0,0.004496574401855469
31,0,575,13,0,0.005027055740356445
32,0,575,13,0,0.005020856857299805
33,0,575,13,0,0.004723072052001953
34,0,575,13,0,0.004526615142822266
35,0,549,13,30,0.005054950714111328
36,0,549,13,0,0.005271434783935547
37,0,549,13,0,0.004639625549316406
38,0,549,13,0,0.004675865173339844
39,0,549,13,0,0.004765748977661133
40,0,549,13,0,0.0053882598876953125
41,0,549,13,0,0.004530668258666992
42,0,547,13,0,0.004621744155883789
43,0,547,13,0,0.004377841949462891
44,0,517,13,30,0.004613399505615234
45,0,509,13,1,0.005338430404663086
46,0,509,13,1,0.004934549331665039
47,0,509,13,1,0.004969120025634766
48,0,509,13,1,0.004941701889038086
49,0,509,13,1,0.0048828125
50,0,509,13,1,0.004779338836669922
51,0,509,13,0,0.004694223403930664
52,0,509,13,0,0.0060884952545166016
53,1,476,13,29,0.004745960235595703
54,1,476,13,0,0.0052013397216796875
55,1,476,13,0,0.004689216613769531
56,1,476,13,0,0.004977703094482422
57,1,476,13,0,0.005167722702026367
58,1,462,13,0,0.004786014556884766
59,1,461,13,1,0.004721641540527344
60,1,456,13,0,0.0023932456970214844
61,1,456,13,0,0.0047838687896728516
62,2,435,13,27,0.005249738693237305
63,1,440,12,2,0.0050542354583740234
64,1,440,12,2,0.004690408706665039
65,1,440,12,2,0.002621173858642578
66,1,434,12,2,0.005140542984008789
67,1,434,12,2,0.004654645919799805
68,1,432,12,4,0.004679679870605469
69,1,432,12,2,0.004957437515258789
70,1,432,12,2,0.005341768264770508
71,4,411,12,27,0.0057048797607421875
72,3,413,11,1,0.0018374919891357422
73,3,413,11,1,0.00486302375793457
74,2,413,11,1,0.004860639572143555
75,2,403,11,1,0.0018188953399658203
76,2,399,11,1,0.005033969879150391
77,2,397,11,3,0.005026578903198242
78,2,397,11,1,0.0051882266998291016
79,1,397,11,1,0.004873514175415039
80,3,381,11,25,0.005188703536987305
81,2,389,10,3,0.005184650421142578
82,2,388,10,4,0.004938364028930664
83,1,388,10,3,0.004915714263916016
84,1,388,10,3,0.0049970149993896484
85,1,386,10,3,0.004769325256347656
86,1,384,10,5,0.005506038665771484
87,1,383,10,4,0.004828214645385742
88,1,357,10,3,0.0068705081939697266
89,2,335,10,23,0.005609750747680664
90,2,343,9,3,0.006789684295654297
91,1,340,8,5,0.004982948303222656
92,1,336,8,3,0.004872322082519531
93,1,328,8,3,0.004770994186401367
94,1,328,8,3,0.005426645278930664
95,2,326,8,5,0.005045890808105469
96,1,329,7,5,0.005025148391723633
97,1,329,7,3,0.004784822463989258
98,3,312,7,22,0.0015456676483154297
99,3,305,7,4,0.005165815353393555
