step,completed_agents,J1,J2,blocked_agents,step_time
258,46,13,0,1,0.021270275115966797
259,46,13,0,1,0.022593259811401367
260,46,13,0,1,0.029388427734375
261,46,13,0,1,0.023176908493041992
262,46,13,0,1,0.007918357849121094
263,46,13,0,1,0.02146291732788086
264,46,13,0,1,0.02321338653564453
265,46,13,0,1,0.0215606689453125
266,47,12,0,2,0.023720979690551758
267,47,12,0,1,0.02549290657043457
268,47,12,0,1,0.021993160247802734
269,47,12,0,1,0.022177696228027344
270,47,12,0,1,0.021838903427124023
271,47,12,0,1,0.025739669799804688
272,47,10,0,2,0.021839141845703125
273,47,10,0,1,0.025273561477661133
274,47,10,0,1,0.022977828979492188
275,47,10,0,1,0.022970199584960938
276,47,10,0,1,0.03381228446960449
277,47,10,0,1,0.021260738372802734
278,47,10,0,1,0.006269693374633789
279,47,10,0,1,0.030318737030029297
280,47,10,0,1,0.022413015365600586
281,47,10,0,1,0.022307872772216797
282,47,10,0,1,0.02304553985595703
283,47,10,0,1,0.02144765853881836
284,47,10,0,1,0.021829605102539062
285,47,10,0,1,0.021320581436157227
286,47,10,0,1,0.02303910255432129
287,47,10,0,1,0.0216827392578125
288,47,10,0,1,0.0215609073638916
289,47,10,0,1,0.021770715713500977
290,47,10,0,1,0.022240400314331055
291,47,10,0,1,0.024201393127441406
292,47,10,0,1,0.022098541259765625
293,47,10,0,1,0.02185654640197754
294,47,10,0,1,0.021715641021728516
295,47,10,0,1,0.02179098129272461
296,47,10,0,1,0.022927522659301758
297,47,10,0,1,0.022511720657348633
298,47,10,0,1,0.022053003311157227
299,47,10,0,1,0.022438526153564453
300,47,10,0,1,0.022709131240844727
301,47,10,0,1,0.021709680557250977
302,47,10,0,1,0.018520593643188477
303,47,10,0,1,0.022551298141479492
304,47,10,0,1,0.020933151245117188
305,47,10,0,1,0.023452281951904297
306,47,10,0,1,0.013221979141235352
307,47,10,0,1,0.02124476432800293
308,47,10,0,1,0.02257394790649414
309,47,10,0,1,0.02412557601928711
310,47,10,0,1,0.023408174514770508
311,47,10,0,1,0.021467924118041992
312,47,10,0,1,0.021790027618408203
313,47,10,0,1,0.021619558334350586
314,47,10,0,1,0.022682666778564453
315,47,10,0,1,0.021661043167114258
316,47,10,0,1,0.022538423538208008
317,47,10,0,1,0.02330183982849121
318,47,10,0,1,0.022893905639648438
319,47,10,0,1,0.02289557456970215
320,47,10,0,1,0.02131342887878418
321,47,10,0,1,0.022948265075683594
322,47,10,0,1,0.021633625030517578
323,47,10,0,1,0.022109031677246094
324,47,10,0,1,0.021181344985961914
325,47,10,0,1,0.020990848541259766
326,47,10,0,1,0.020813465118408203
327,47,10,0,1,0.02091526985168457
328,47,10,0,1,0.020859479904174805
329,47,10,0,1,0.020771265029907227
330,47,10,0,1,0.021401166915893555
331,47,10,0,1,0.0227658748626709
332,47,10,0,1,0.021203994750976562
333,47,10,0,1,0.02112865447998047
334,47,10,0,1,0.02121567726135254
335,47,10,0,1,0.023317337036132812
336,47,10,0,1,0.023993968963623047
337,47,10,0,1,0.021542072296142578
338,47,10,0,1,0.0209658145904541
339,47,10,0,1,0.02085423469543457
340,47,10,0,1,0.023093700408935547
341,47,10,0,1,0.02123284339904785
342,47,10,0,1,0.02099299430847168
343,47,8,0,1,0.02076268196105957
344,47,10,0,1,0.023270845413208008
345,47,10,0,1,0.023592472076416016
346,47,10,0,1,0.023070812225341797
347,47,10,0,1,0.023590564727783203
348,47,10,0,1,0.02331852912902832
349,47,10,0,1,0.023024559020996094
350,47,10,0,1,0.02178168296813965
351,47,10,0,1,0.02065300941467285
352,47,10,0,1,0.020870447158813477
353,47,10,0,1,0.023169517517089844
354,47,10,0,1,0.022488832473754883
355,47,10,0,1,0.021091699600219727
356,47,10,0,1,0.021761417388916016
357,47,10,0,1,0.025562286376953125
358,47,10,0,1,0.021112918853759766
359,47,10,0,1,0.009174108505249023
360,47,10,0,1,0.022415637969970703
361,47,10,0,1,0.022234201431274414
362,47,10,0,1,0.020812034606933594
363,47,10,0,1,0.020666837692260742
364,47,10,0,1,0.021617412567138672
365,47,10,0,1,0.020824909210205078
366,47,10,0,1,0.02474188804626465
367,47,10,0,1,0.022773265838623047
368,47,10,0,1,0.021089792251586914
369,47,10,0,1,0.021169662475585938
370,47,10,0,1,0.02118396759033203
371,47,10,0,1,0.019208431243896484
372,47,10,0,1,0.008803367614746094
373,47,10,0,1,0.02284836769104004
374,47,10,0,1,0.02249431610107422
375,47,10,0,1,0.027258634567260742
376,47,10,0,1,0.0071179866790771484
377,47,10,0,1,0.02976822853088379
378,47,10,0,1,0.01011347770690918
379,47,10,0,1,0.00755763053894043
380,47,10,0,1,0.022698163986206055
381,47,10,0,1,0.0181887149810791
382,47,10,0,1,0.009288549423217773
383,47,10,0,1,0.009829521179199219
384,47,10,0,1,0.022892236709594727
385,47,10,0,1,0.020890474319458008
386,47,10,0,1,0.020833730697631836
387,47,10,0,1,0.022589445114135742
388,47,10,0,1,0.020981311798095703
389,47,10,0,1,0.02094745635986328
390,47,10,0,1,0.02089214324951172
391,47,10,0,1,0.020718097686767578
392,47,10,0,1,0.020658254623413086
393,47,10,0,1,0.008142471313476562
394,47,10,0,1,0.010094404220581055
395,47,10,0,1,0.020895004272460938
396,47,10,0,1,0.024518489837646484
397,47,10,0,1,0.021602869033813477
398,47,10,0,1,0.02120518684387207
399,47,10,0,1,0.021106481552124023
400,47,10,0,1,0.006583452224731445
401,47,10,0,1,0.015265941619873047
402,47,10,0,1,0.02238154411315918
403,47,10,0,1,0.021439075469970703
404,47,10,0,1,0.021471500396728516
405,47,10,0,1,0.022240638732910156
406,47,10,0,1,0.022568464279174805
407,47,10,0,1,0.021469831466674805
408,47,10,0,1,0.02118062973022461
409,47,10,0,1,0.020760536193847656
410,47,10,0,1,0.022526264190673828
411,47,10,0,1,0.02070474624633789
412,47,10,0,1,0.02478647232055664
413,47,10,0,1,0.02086329460144043
414,47,10,0,1,0.006859779357910156
415,47,10,0,1,0.021640777587890625
416,47,10,0,1,0.007668972015380859
417,47,10,0,1,0.022610902786254883
418,47,10,0,1,0.008259057998657227
419,47,10,0,1,0.022076129913330078
420,47,10,0,1,0.021234750747680664
421,47,10,0,1,0.02465677261352539
422,47,10,0,1,0.02294325828552246
423,47,10,0,1,0.0223233699798584
424,47,10,0,1,0.02172684669494629
425,47,10,0,1,0.02149367332458496
426,47,10,0,1,0.021773576736450195
427,47,10,0,1,0.021751880645751953
428,46,26,0,1,0.02183842658996582
429,46,26,0,1,0.022582292556762695
430,46,26,0,1,0.01561880111694336
431,46,26,0,1,0.02108478546142578
432,46,26,0,1,0.020854711532592773
433,46,26,0,1,0.02205634117126465
434,46,26,0,1,0.022393465042114258
435,46,26,0,1,0.012046098709106445
436,46,25,0,2,0.02104926109313965
437,46,25,0,1,0.020957231521606445
438,46,25,0,1,0.02065873146057129
439,46,25,0,1,0.020953893661499023
440,46,25,0,1,0.02099132537841797
441,46,25,0,1,0.025010347366333008
442,46,25,0,1,0.021591663360595703
443,46,25,0,1,0.022246837615966797
444,46,25,0,1,0.01070857048034668
445,46,24,0,2,0.0225679874420166
446,46,24,0,1,0.02293705940246582
447,46,24,0,1,0.02203822135925293
448,46,24,0,1,0.02128744125366211
449,46,24,0,1,0.02847433090209961
450,46,24,0,1,0.025580883026123047
451,46,24,0,1,0.02442622184753418
452,46,24,0,1,0.021310091018676758
453,46,24,0,1,0.021666765213012695
454,46,23,0,2,0.021532773971557617
455,46,23,0,1,0.02182459831237793
456,46,23,0,1,0.02330303192138672
457,46,23,0,1,0.021713733673095703
458,46,23,0,1,0.020967483520507812
459,46,23,0,1,0.026910781860351562
460,46,23,0,1,0.031192779541015625
461,46,23,0,1,0.025154590606689453
462,46,23,0,1,0.025421857833862305
463,46,22,0,2,0.02484583854675293
464,46,22,0,1,0.020797252655029297
465,46,22,0,1,0.02162313461303711
466,46,22,0,1,0.023035049438476562
467,46,22,0,1,0.024713516235351562
468,46,22,0,1,0.02064681053161621
469,46,22,0,1,0.02039027214050293
470,46,22,0,1,0.022285938262939453
471,46,22,0,1,0.024098873138427734
472,46,13,0,3,0.02071857452392578
473,46,13,0,1,0.020776748657226562
474,46,13,0,1,0.020574331283569336
475,46,13,0,1,0.020633697509765625
476,46,13,0,1,0.023198604583740234
477,46,13,0,1,0.021213769912719727
478,46,13,0,1,0.02093982696533203
479,46,13,0,1,0.01592874526977539
480,46,13,0,1,0.022546768188476562
481,46,12,0,2,0.022652626037597656
482,46,12,0,1,0.02171468734741211
483,46,12,0,1,0.020668983459472656
484,46,12,0,1,0.02254176139831543
485,46,12,0,1,0.02112293243408203
486,46,12,0,1,0.02278304100036621
487,46,12,0,1,0.020683765411376953
488,46,12,0,1,0.022748231887817383
489,46,12,0,1,0.012821435928344727
490,46,11,0,2,0.015398502349853516
491,46,11,0,2,0.02257394790649414
492,46,11,0,2,0.021719694137573242
493,46,11,0,2,0.02487969398498535
494,46,11,0,2,0.01316213607788086
495,46,11,0,2,0.017978906631469727
496,46,11,0,2,0.021881580352783203
497,46,11,0,2,0.02314901351928711
498,46,11,0,2,0.023586273193359375
499,46,11,0,2,0.02486705780029297
500,46,11,0,2,0.02272963523864746
501,46,11,0,2,0.02229452133178711
502,46,11,0,2,0.02136707305908203
503,46,11,0,2,0.02203226089477539
504,46,11,0,2,0.020792722702026367
505,46,11,0,2,0.0229642391204834
506,46,11,0,2,0.02064037322998047
507,46,11,0,2,0.021317481994628906
508,46,11,0,2,0.02096700668334961
509,46,11,0,2,0.0216214656829834
510,46,11,0,2,0.021321773529052734
511,46,11,0,2,0.022410869598388672
512,46,11,0,2,0.02521967887878418
513,46,11,0,2,0.02105569839477539
514,46,11,0,2,0.021483421325683594
515,46,11,0,2,0.02117133140563965
516,46,11,0,2,0.023929595947265625
517,46,11,0,2,0.01544332504272461
518,46,11,0,2,0.0210263729095459
519,46,11,0,2,0.02165818214416504
520,46,11,0,2,0.021208763122558594
521,46,11,0,2,0.02101278305053711
