step,completed_agents,J1,J2,blocked_agents,step_time
0,0,381,11,7,0.0013244152069091797
1,0,381,11,7,0.007739543914794922
2,0,381,11,7,0.006951808929443359
3,0,388,11,6,0.0023539066314697266
4,0,376,11,6,0.006739139556884766
5,0,376,11,6,0.007736921310424805
6,0,376,11,6,0.005135297775268555
7,0,372,11,6,0.005082130432128906
8,1,351,11,29,0.0015957355499267578
9,0,349,11,4,0.005434751510620117
10,0,349,11,4,0.00496220588684082
11,1,339,11,3,0.005021572113037109
12,0,331,11,3,0.005269050598144531
13,0,329,11,2,0.0050013065338134766
14,0,329,11,2,0.0052225589752197266
15,0,310,10,2,0.0052835941314697266
16,0,310,10,2,0.005651712417602539
17,0,286,10,26,0.005371570587158203
18,0,286,10,4,0.006422281265258789
19,0,284,10,6,0.005092620849609375
20,0,284,10,4,0.005239248275756836
21,0,275,10,5,0.005369663238525391
22,0,269,10,3,0.005395650863647461
23,1,268,10,4,0.005846977233886719
24,1,281,10,3,0.00550389289855957
25,1,281,10,3,0.005620479583740234
26,2,263,10,25,0.005616903305053711
27,2,263,10,5,0.005851268768310547
28,2,262,10,6,0.005352497100830078
29,2,262,10,5,0.0059015750885009766
30,3,250,10,7,0.005887746810913086
31,3,250,10,5,0.005780458450317383
32,3,249,10,6,0.0054094791412353516
33,2,249,10,5,0.00531005859375
34,2,249,10,5,0.005152225494384766
35,2,233,10,23,0.0061490535736083984
36,2,225,10,6,0.007271766662597656
37,2,226,10,7,0.003610372543334961
38,1,226,10,6,0.005164146423339844
39,1,216,10,8,0.005278110504150391
40,1,216,10,6,0.006956815719604492
41,2,214,10,8,0.005630970001220703
42,1,213,9,7,0.0057680606842041016
43,2,199,9,6,0.0054166316986083984
44,1,184,8,22,0.005453586578369141
45,1,172,8,5,0.005655050277709961
46,2,161,8,6,0.00524449348449707
47,2,161,8,4,0.005659818649291992
48,2,161,8,6,0.005616188049316406
49,2,153,8,4,0.0054912567138671875
50,2,153,8,5,0.005921840667724609
51,3,152,8,4,0.005765676498413086
52,4,151,8,4,0.005323171615600586
53,9,132,8,20,0.005575418472290039
54,4,151,5,4,0.002476215362548828
55,5,150,5,5,0.005990266799926758
56,5,150,5,4,0.005325794219970703
57,6,146,5,6,0.005804777145385742
58,5,149,4,4,0.0055735111236572266
59,6,145,4,6,0.005439043045043945
60,4,146,3,3,0.0061187744140625
61,4,138,3,3,0.005488872528076172
62,6,116,3,19,0.0059816837310791016
63,6,113,2,4,0.0032320022583007812
64,6,114,2,5,0.007055997848510742
65,6,114,2,4,0.0021409988403320312
66,8,110,2,6,0.006575822830200195
67,8,109,2,5,0.0017611980438232422
68,10,108,2,7,0.0014145374298095703
69,9,108,2,3,0.004274845123291016
70,10,108,2,2,0.006075143814086914
71,14,96,2,16,0.004935026168823242
72,12,106,0,4,0.0015823841094970703
73,11,105,0,4,0.0023849010467529297
74,11,105,0,3,0.006302595138549805
75,11,105,0,3,0.0014226436614990234
76,11,104,0,4,0.0016162395477294922
77,12,102,0,5,0.006296634674072266
78,12,102,0,2,0.006318092346191406
79,12,102,0,2,0.0069811344146728516
80,14,91,0,13,0.003435850143432617
81,16,90,0,2,0.002994060516357422
82,16,89,0,1,0.0019676685333251953
83,16,89,0,0,0.006186723709106445
84,16,89,0,0,0.0062220096588134766
85,16,88,0,1,0.008209705352783203
86,18,86,0,4,0.0062558650970458984
87,18,86,0,2,0.006373882293701172
88,18,86,0,2,0.003327608108520508
89,18,77,0,11,0.001739501953125
90,19,76,0,5,0.004703044891357422
91,18,75,0,5,0.0066165924072265625
92,18,75,0,4,0.006326436996459961
93,18,75,0,4,0.004712343215942383
94,18,75,0,4,0.006155490875244141
95,17,75,0,5,0.0021414756774902344
96,17,75,0,5,0.00618290901184082
97,17,75,0,5,0.010184526443481445
98,18,68,0,12,0.00602412223815918
99,19,67,0,5,0.006800174713134766
100,20,66,0,3,0.0029184818267822266
101,19,66,0,1,0.005513191223144531
102,19,66,0,1,0.0063707828521728516
103,19,66,0,1,0.00708460807800293
104,18,66,0,2,0.006447792053222656
105,17,66,0,2,0.006243228912353516
106,18,66,0,1,0.006598949432373047
107,18,59,0,9,0.006151676177978516
108,20,58,0,3,0.006721019744873047
109,20,56,0,4,0.006622791290283203
110,20,56,0,1,0.0066509246826171875
111,20,56,0,1,0.0066530704498291016
112,20,56,0,1,0.006327152252197266
113,20,55,0,2,0.006326913833618164
114,20,55,0,2,0.007196903228759766
115,19,55,0,2,0.0068891048431396484
116,20,50,0,7,0.0022504329681396484
117,20,49,0,5,0.006258487701416016
118,22,47,0,8,0.006238222122192383
119,22,47,0,6,0.006559610366821289
120,22,47,0,6,0.006781101226806641
121,21,47,0,7,0.006330251693725586
122,21,47,0,7,0.006421566009521484
123,21,46,0,8,0.006668806076049805
124,21,46,0,7,0.0065000057220458984
125,21,44,0,9,0.007148027420043945
126,20,44,0,10,0.0064961910247802734
127,21,44,0,9,0.008688211441040039
128,19,44,0,7,0.008061408996582031
129,19,44,0,7,0.008449792861938477
130,18,44,0,7,0.006282806396484375
131,18,44,0,7,0.009477615356445312
132,18,43,0,8,0.006488800048828125
133,18,43,0,7,0.008396387100219727
134,18,42,0,8,0.008951663970947266
135,18,42,0,7,0.006368398666381836
136,19,40,0,10,0.006403923034667969
137,19,40,0,6,0.006117582321166992
138,19,39,0,7,0.0016705989837646484
139,20,39,0,4,0.0031347274780273438
140,20,39,0,4,0.0063130855560302734
141,19,38,0,6,0.0016269683837890625
142,20,38,0,5,0.0020058155059814453
143,21,37,0,6,0.006353139877319336
144,22,37,0,4,0.005800008773803711
145,24,35,0,6,0.006645917892456055
146,24,35,0,4,0.007727384567260742
147,24,33,0,7,0.006665706634521484
148,24,33,0,6,0.003535032272338867
149,24,33,0,6,0.006849050521850586
150,23,33,0,6,0.007363080978393555
151,23,33,0,6,0.006568431854248047
152,23,33,0,6,0.00649714469909668
153,22,33,0,6,0.0066165924072265625
154,22,33,0,6,0.00363922119140625
155,21,33,0,7,0.006548881530761719
156,22,33,0,6,0.006517171859741211
157,22,33,0,6,0.004689931869506836
158,22,32,0,7,0.0024127960205078125
159,21,32,0,6,0.006803750991821289
160,21,32,0,6,0.0076601505279541016
161,20,31,0,7,0.006479740142822266
162,20,31,0,6,0.006306886672973633
163,21,31,0,5,0.006379365921020508
164,20,31,0,6,0.006628513336181641
165,20,31,0,6,0.006312131881713867
166,20,31,0,6,0.006295680999755859
167,21,29,0,8,0.006441354751586914
168,21,29,0,6,0.006910800933837891
169,20,28,0,8,0.003576993942260742
170,20,27,0,7,0.006796121597290039
171,20,27,0,6,0.007430553436279297
172,19,27,0,6,0.001699686050415039
173,19,27,0,6,0.00659942626953125
174,19,27,0,6,0.003420591354370117
175,19,27,0,6,0.008289813995361328
176,20,26,0,7,0.010884523391723633
177,20,26,0,5,0.006665945053100586
178,22,24,0,6,0.00762939453125
179,21,23,0,6,0.007010221481323242
180,22,22,0,6,0.006555795669555664
181,22,22,0,4,0.006487369537353516
182,22,22,0,4,0.006518363952636719
183,22,22,0,4,0.0069272518157958984
184,22,22,0,4,0.006910085678100586
185,23,21,0,5,0.007094860076904297
186,23,21,0,4,0.007050991058349609
187,23,20,0,5,0.0024008750915527344
188,24,19,0,5,0.007431507110595703
189,25,18,0,4,0.006635189056396484
190,25,18,0,3,0.00669550895690918
191,25,18,0,3,0.006619930267333984
192,25,18,0,3,0.0068149566650390625
193,25,18,0,3,0.006783723831176758
194,24,18,0,4,0.007329702377319336
195,24,17,0,5,0.006717681884765625
196,24,17,0,3,0.006805896759033203
197,25,16,0,4,0.0065691471099853516
198,25,16,0,3,0.00653529167175293
199,25,16,0,3,0.00661921501159668
200,25,16,0,3,0.006547212600708008
201,25,16,0,3,0.006766080856323242
202,25,16,0,3,0.00698542594909668
203,23,16,0,5,0.006641864776611328
204,23,14,0,7,0.006558895111083984
205,24,14,0,4,0.0065877437591552734
206,24,14,0,4,0.006617069244384766
207,23,14,0,5,0.006691455841064453
208,22,14,0,6,0.006566286087036133
209,22,14,0,6,0.006703853607177734
210,22,14,0,6,0.0064258575439453125
211,22,14,0,6,0.007466793060302734
212,22,14,0,6,0.006514310836791992
213,23,12,0,8,0.008134126663208008
214,23,12,0,5,0.006621122360229492
215,23,12,0,5,0.00676274299621582
216,23,12,0,5,0.006673097610473633
217,24,12,0,4,0.007150888442993164
218,25,12,0,3,0.0073413848876953125
219,25,12,0,3,0.011910200119018555
