step,completed_agents,J1,J2,blocked_agents,step_time
150,31,73,1,10,0.01816415786743164
151,30,72,1,11,0.019681453704833984
152,30,70,1,14,0.01873779296875
153,31,68,1,14,0.02429819107055664
154,34,66,1,13,0.019489765167236328
155,32,66,1,13,0.020418405532836914
156,33,65,1,12,0.029558897018432617
157,34,64,1,11,0.018675804138183594
158,35,64,1,10,0.018995285034179688
159,35,63,1,11,0.019324064254760742
160,33,63,1,13,0.020219802856445312
161,34,61,1,15,0.019603729248046875
162,33,60,1,13,0.019060134887695312
163,32,60,1,13,0.018869876861572266
164,33,59,1,14,0.018613576889038086
165,33,53,1,15,0.019217252731323242
166,33,53,1,14,0.019559621810913086
167,32,53,1,15,0.019354820251464844
168,32,53,1,15,0.020541667938232422
169,32,53,1,14,0.020299196243286133
170,34,50,1,16,0.018397092819213867
171,34,49,1,14,0.020016193389892578
172,35,48,1,13,0.019505023956298828
173,36,48,1,11,0.019542932510375977
174,36,47,1,13,0.021443843841552734
175,36,47,1,10,0.019907236099243164
176,36,47,1,10,0.02056741714477539
177,36,47,1,8,0.020618677139282227
178,36,47,1,8,0.019527912139892578
179,36,45,1,11,0.018903732299804688
180,36,44,1,11,0.019643783569335938
181,35,43,1,13,0.01949000358581543
182,33,43,1,14,0.01906275749206543
183,34,39,1,15,0.018881559371948242
184,33,44,0,12,0.01934075355529785
185,33,43,0,13,0.01992964744567871
186,34,43,0,11,0.01882767677307129
187,33,43,0,13,0.02050948143005371
188,33,42,0,14,0.019984006881713867
189,31,39,0,13,0.020246505737304688
190,34,37,0,12,0.020394325256347656
191,33,38,0,13,0.018967151641845703
192,33,39,0,13,0.018570899963378906
193,33,39,0,12,0.01861858367919922
194,34,38,0,13,0.019339561462402344
195,34,38,0,9,0.022492647171020508
196,34,38,0,9,0.019632816314697266
197,35,38,0,11,0.020615339279174805
198,33,36,0,11,0.018978595733642578
199,35,35,0,10,0.021394729614257812
200,36,34,0,10,0.022301435470581055
201,35,33,0,9,0.01936483383178711
202,36,33,0,8,0.021007061004638672
203,37,32,0,9,0.02106475830078125
204,38,32,0,6,0.00838327407836914
205,38,32,0,6,0.020164966583251953
206,40,30,0,8,0.019770383834838867
207,39,28,0,7,0.012434244155883789
208,39,28,0,5,0.020142078399658203
209,38,27,0,7,0.019472122192382812
210,39,26,0,7,0.018021345138549805
211,39,26,0,6,0.02043318748474121
212,40,25,0,7,0.014108419418334961
213,40,25,0,5,0.02222275733947754
214,40,25,0,5,0.019756317138671875
215,41,24,0,6,0.005774736404418945
216,41,22,0,6,0.02388167381286621
217,41,22,0,4,0.012002229690551758
218,42,21,0,5,0.017365455627441406
219,42,21,0,4,0.020149946212768555
220,41,21,0,5,0.02408576011657715
221,41,22,0,6,0.021565914154052734
222,41,22,0,5,0.020987272262573242
223,40,22,0,6,0.020239830017089844
224,42,21,0,6,0.023940324783325195
225,42,19,0,5,0.0209653377532959
226,42,19,0,3,0.02072620391845703
227,42,19,0,3,0.017726421356201172
228,42,19,0,3,0.022227764129638672
229,42,18,0,5,0.018336057662963867
230,41,20,0,4,0.020136356353759766
231,41,20,0,4,0.021116971969604492
232,41,20,0,4,0.027792692184448242
233,43,18,0,6,0.02224135398864746
234,45,17,0,2,0.020958662033081055
235,44,17,0,1,0.02220773696899414
236,44,17,0,1,0.02074575424194336
237,43,17,0,2,0.021335124969482422
238,44,16,0,3,0.02079176902770996
239,44,16,0,2,0.022216796875
240,44,16,0,2,0.023278474807739258
241,44,16,0,2,0.020207643508911133
242,44,15,0,5,0.02023625373840332
243,46,13,0,4,0.02189016342163086
244,46,13,0,1,0.022314786911010742
245,46,13,0,1,0.03122091293334961
246,46,13,0,1,0.02356719970703125
247,46,13,0,1,0.021478891372680664
248,46,13,0,1,0.025075912475585938
249,46,13,0,1,0.022137165069580078
250,46,13,0,1,0.021712541580200195
251,46,13,0,1,0.02333855628967285
252,47,11,0,3,0.021863460540771484
253,47,11,0,2,0.021615982055664062
254,47,11,0,2,0.021457910537719727
255,47,11,0,2,0.021465063095092773
256,47,11,0,2,0.018200397491455078
257,47,11,0,2,0.02068018913269043
258,47,11,0,2,0.02296161651611328
259,47,11,0,2,0.02245020866394043
260,47,11,0,2,0.022400379180908203
261,48,10,0,3,0.020955562591552734
262,48,10,0,2,0.021795034408569336
263,48,10,0,2,0.023391246795654297
264,48,10,0,2,0.019927024841308594
265,48,10,0,2,0.022031545639038086
266,47,10,0,3,0.021407127380371094
267,47,10,0,3,0.025522947311401367
268,47,10,0,3,0.021116018295288086
269,47,10,0,3,0.022574186325073242
270,47,10,0,3,0.019417285919189453
271,47,10,0,3,0.021126747131347656
272,47,10,0,2,0.021654605865478516
273,47,10,0,2,0.021418094635009766
274,47,10,0,2,0.02173328399658203
275,46,10,0,2,0.02195429801940918
276,46,10,0,2,0.022324085235595703
277,46,10,0,2,0.022225618362426758
278,46,10,0,2,0.02081751823425293
279,46,10,0,2,0.02246689796447754
280,47,9,0,3,0.023186445236206055
281,47,9,0,1,0.022362470626831055
282,47,9,0,1,0.02220296859741211
283,47,9,0,1,0.014165401458740234
284,47,9,0,1,0.02574896812438965
285,47,9,0,1,0.022806167602539062
286,47,9,0,1,0.021392107009887695
287,47,9,0,1,0.021104812622070312
288,47,9,0,1,0.023335933685302734
289,48,8,0,2,0.021738767623901367
290,48,8,0,0,0.021525859832763672
291,47,22,0,0,0.02216196060180664
292,47,22,0,0,0.02512645721435547
293,47,22,0,0,0.021120786666870117
294,47,22,0,0,0.020991086959838867
295,47,22,0,0,0.02093958854675293
296,47,22,0,0,0.022217750549316406
297,47,22,0,0,0.022485733032226562
298,48,21,0,1,0.023298025131225586
299,48,20,0,1,0.02068924903869629
300,48,20,0,0,0.02069544792175293
301,48,20,0,0,0.02863025665283203
302,48,20,0,0,0.015958070755004883
303,48,20,0,0,0.007510662078857422
