step,completed_agents,J1,J2,blocked_agents,step_time
0,0,255,9,1,0.001241445541381836
1,0,255,9,1,0.0018153190612792969
2,0,255,9,1,0.0009491443634033203
3,0,255,9,1,0.0023157596588134766
4,0,255,9,1,0.0007967948913574219
5,0,255,9,1,0.0013811588287353516
6,0,255,9,1,0.0014901161193847656
7,0,255,9,1,0.0024247169494628906
8,0,236,9,20,0.0023860931396484375
9,0,236,9,1,0.0024890899658203125
10,0,236,9,1,0.002397298812866211
11,0,236,9,1,0.0025491714477539062
12,0,230,9,1,0.002335786819458008
13,0,230,9,1,0.002421855926513672
14,0,230,9,1,0.0012013912200927734
15,0,230,9,1,0.0027701854705810547
16,0,230,9,1,0.0020766258239746094
17,0,215,9,20,0.000789642333984375
18,0,215,9,1,0.0035817623138427734
19,0,215,9,1,0.0009181499481201172
20,0,215,9,1,0.0008897781372070312
21,0,215,9,1,0.0008814334869384766
22,0,215,9,1,0.0032796859741210938
23,0,215,9,1,0.002321958541870117
24,0,215,9,1,0.0017445087432861328
25,0,213,9,1,0.002432107925415039
26,0,196,9,20,0.0024194717407226562
27,0,184,9,3,0.002808809280395508
28,0,182,9,2,0.0023937225341796875
29,0,182,9,2,0.0024802684783935547
30,0,182,9,2,0.002178192138671875
31,0,182,9,2,0.0024347305297851562
32,0,182,9,2,0.0023851394653320312
33,0,182,9,2,0.002525806427001953
34,0,182,9,2,0.0025146007537841797
35,1,164,9,18,0.0024449825286865234
36,1,161,8,4,0.0026116371154785156
37,1,161,8,3,0.0028727054595947266
38,1,161,8,3,0.0026373863220214844
39,1,161,8,3,0.002922534942626953
40,1,155,8,3,0.0024602413177490234
41,1,155,8,3,0.0025382041931152344
42,1,155,8,3,0.0040624141693115234
43,2,154,8,4,0.0024514198303222656
44,1,145,7,18,0.0026264190673828125
45,1,145,7,3,0.002773284912109375
46,1,145,7,3,0.0012590885162353516
47,1,145,7,3,0.003072500228881836
48,1,139,7,3,0.0026750564575195312
49,1,139,7,3,0.0034363269805908203
50,1,139,7,3,0.0026578903198242188
51,1,131,6,3,0.002598285675048828
52,1,120,5,4,0.0025513172149658203
53,4,110,5,17,0.006050586700439453
54,3,116,4,3,0.002881765365600586
55,3,116,4,3,0.0025055408477783203
56,3,116,4,3,0.0028433799743652344
57,2,108,4,2,0.0007412433624267578
58,2,106,4,2,0.002681732177734375
59,3,105,4,3,0.002867460250854492
60,3,105,4,2,0.0026128292083740234
61,3,104,4,3,0.002515554428100586
62,3,95,4,15,0.0025191307067871094
63,3,95,4,3,0.002615690231323242
64,3,95,4,3,0.002674102783203125
65,3,94,4,4,0.002635478973388672
66,3,94,4,2,0.0025186538696289062
67,3,94,4,2,0.0025184154510498047
68,3,94,4,2,0.0026874542236328125
69,3,94,4,2,0.002604961395263672
70,3,93,4,3,0.002657651901245117
71,4,78,4,13,0.002083301544189453
72,5,80,3,2,0.0026221275329589844
73,5,80,3,2,0.0026373863220214844
74,7,78,3,4,0.0026369094848632812
75,7,76,3,1,0.003167390823364258
76,7,84,3,2,0.002696514129638672
77,6,76,2,2,0.0006887912750244141
78,3,76,2,2,0.0029382705688476562
79,3,75,2,3,0.002745389938354492
80,3,71,2,10,0.0033299922943115234
81,3,71,2,3,0.002610921859741211
82,3,71,2,3,0.0026369094848632812
83,3,70,2,4,0.0025353431701660156
84,4,69,2,5,0.002900838851928711
85,3,76,1,5,0.002731800079345703
86,3,73,1,7,0.0029807090759277344
87,3,73,1,3,0.003081083297729492
88,3,70,1,4,0.0027990341186523438
89,5,63,1,11,0.0027618408203125
90,5,63,1,4,0.0026831626892089844
91,5,61,1,4,0.002828359603881836
92,6,53,1,4,0.002756357192993164
93,6,54,1,5,0.0026624202728271484
94,5,55,1,4,0.0037665367126464844
95,6,51,1,7,0.0027430057525634766
96,6,51,1,4,0.001996278762817383
97,6,51,1,4,0.0027048587799072266
98,7,46,1,9,0.0027458667755126953
99,8,40,1,5,0.003102540969848633
100,8,40,1,5,0.002737760543823242
101,7,40,1,5,0.002889871597290039
102,8,38,1,7,0.002709627151489258
103,8,37,1,5,0.002933502197265625
104,8,36,1,5,0.002723217010498047
105,8,36,1,3,0.002721548080444336
106,8,35,1,4,0.0027129650115966797
107,8,33,1,5,0.0029594898223876953
108,8,33,1,3,0.002916097640991211
109,8,32,1,4,0.0027179718017578125
110,8,28,1,3,0.003064393997192383
111,9,26,1,5,0.002734661102294922
112,10,25,1,4,0.002778768539428711
113,11,24,1,4,0.0028662681579589844
114,10,26,0,4,0.002935171127319336
115,12,17,0,4,0.003316164016723633
116,12,17,0,5,0.0050203800201416016
117,12,17,0,3,0.003934621810913086
