step,completed_agents,J1,J2,blocked_agents,step_time
75,23,15,0,6,0.009667396545410156
76,23,15,0,6,0.007215738296508789
77,23,15,0,6,0.007340908050537109
78,23,15,0,6,0.007362842559814453
79,24,15,0,5,0.008527994155883789
80,24,14,0,6,0.007597923278808594
81,25,14,0,3,0.007834672927856445
82,24,14,0,2,0.007819175720214844
83,25,13,0,3,0.007820367813110352
84,24,13,0,4,0.008092880249023438
85,24,13,0,4,0.007713794708251953
86,24,13,0,4,0.0022699832916259766
87,23,13,0,6,0.012509584426879883
88,23,13,0,6,0.007218837738037109
89,22,12,0,6,0.0074443817138671875
90,24,11,0,5,0.0075664520263671875
91,24,11,0,3,0.006527423858642578
92,25,11,0,1,0.0074617862701416016
93,24,11,0,2,0.007489681243896484
94,24,11,0,2,0.007329463958740234
95,24,11,0,2,0.008198261260986328
96,24,11,0,3,0.0075228214263916016
97,25,10,0,4,0.007367610931396484
98,25,9,0,4,0.007839202880859375
99,26,8,0,5,0.013239860534667969
100,26,8,0,3,0.007519245147705078
101,26,12,0,3,0.0075757503509521484
102,25,12,0,3,0.007539272308349609
103,25,12,0,3,0.007617950439453125
104,25,12,0,3,0.0074007511138916016
105,25,12,0,3,0.009170293807983398
106,25,12,0,3,0.007322788238525391
107,24,12,0,4,0.0021147727966308594
108,24,11,0,5,0.007399797439575195
109,25,11,0,4,0.007480621337890625
110,25,12,0,7,0.0073964595794677734
111,26,8,0,4,0.005803346633911133
112,26,8,0,4,0.0076448917388916016
113,26,8,0,4,0.007555246353149414
114,26,8,0,4,0.007598400115966797
115,26,8,0,4,0.0032777786254882812
116,26,8,0,4,0.0076940059661865234
117,26,8,0,4,0.002404928207397461
118,26,8,0,4,0.002198457717895508
119,24,14,0,7,0.012110710144042969
120,25,12,0,6,0.0019521713256835938
121,23,14,0,6,0.0019731521606445312
122,23,14,0,6,0.00629425048828125
123,24,14,0,6,0.006497621536254883
124,24,14,0,6,0.014903783798217773
125,24,14,0,6,0.007352352142333984
126,25,10,0,4,0.009107351303100586
127,25,10,0,4,0.008735418319702148
128,25,10,0,4,0.007569074630737305
129,26,9,0,5,0.007354259490966797
130,27,9,0,3,0.007520198822021484
131,27,9,0,3,0.007466554641723633
132,27,9,0,3,0.007410764694213867
133,27,9,0,3,0.008586883544921875
134,27,9,0,3,0.0075299739837646484
135,26,13,0,5,0.007753133773803711
136,26,13,0,5,0.007464885711669922
137,26,13,0,5,0.0075969696044921875
138,27,9,0,3,0.007496356964111328
139,27,9,0,3,0.007494211196899414
140,27,9,0,3,0.0076334476470947266
141,26,9,0,2,0.0075719356536865234
142,26,9,0,2,0.007363557815551758
143,26,9,0,2,0.008400678634643555
144,26,9,0,2,0.008580446243286133
145,26,9,0,2,0.007381439208984375
146,27,9,0,1,0.00731658935546875
147,27,9,0,1,0.007491588592529297
148,26,9,0,4,0.007456779479980469
149,27,8,0,4,0.0037398338317871094
150,27,8,0,3,0.01430368423461914
151,27,8,0,3,0.007465362548828125
152,27,8,0,3,0.002017498016357422
153,27,8,0,3,0.00834965705871582
154,27,8,0,3,0.007391214370727539
155,26,8,0,2,0.007420778274536133
156,26,8,0,2,0.007367372512817383
157,26,8,0,2,0.007866144180297852
158,26,8,0,2,0.0074503421783447266
159,25,8,0,4,0.0073680877685546875
160,26,8,0,2,0.007561206817626953
161,26,8,0,2,0.0073699951171875
162,25,8,0,4,0.008104324340820312
163,26,7,0,5,0.007335662841796875
164,27,7,0,1,0.008307695388793945
165,27,7,0,1,0.008696317672729492
166,27,7,0,1,0.007587432861328125
167,26,7,0,3,0.007554769515991211
168,26,7,0,3,0.007518291473388672
169,26,7,0,3,0.0076982975006103516
170,26,7,0,3,0.008450031280517578
171,26,7,0,3,0.008275032043457031
172,27,6,0,4,0.00768733024597168
173,26,6,0,1,0.009426116943359375
174,26,6,0,1,0.00791478157043457
175,26,6,0,1,0.007585048675537109
176,26,6,0,1,0.007699012756347656
177,26,6,0,1,0.0033092498779296875
178,26,6,0,1,0.007265806198120117
179,26,6,0,1,0.00767827033996582
180,27,6,0,0,0.007821083068847656
181,29,4,0,2,0.007774829864501953
182,29,4,0,0,0.008517742156982422
183,29,4,0,0,0.007781028747558594
184,29,4,0,0,0.007965564727783203
185,29,4,0,0,0.007915496826171875
186,29,4,0,0,0.009513139724731445
187,29,4,0,0,0.007688283920288086
188,29,4,0,0,0.008122682571411133
189,29,4,0,0,0.007892370223999023
190,29,4,0,0,0.007911920547485352
191,29,4,0,0,0.007798671722412109
192,29,4,0,0,0.007855415344238281
193,29,4,0,0,0.007915019989013672
194,29,4,0,0,0.008510351181030273
195,29,4,0,0,0.007827281951904297
196,29,4,0,0,0.008069753646850586
197,29,4,0,0,0.007699251174926758
198,29,4,0,0,0.008457422256469727
199,29,4,0,0,0.008196353912353516
200,29,4,0,0,0.007798671722412109
201,29,4,0,0,0.0076446533203125
202,29,4,0,0,0.007690906524658203
203,29,4,0,0,0.007948875427246094
204,28,6,0,0,0.007814645767211914
205,28,6,0,0,0.007596254348754883
206,28,6,0,0,0.007769346237182617
207,28,6,0,0,0.007868528366088867
208,28,6,0,0,0.008011579513549805
209,28,6,0,0,0.007589817047119141
210,28,6,0,0,0.0022149085998535156
211,28,6,0,0,0.007722377777099609
212,28,7,0,2,0.008848190307617188
213,28,7,0,0,0.008461236953735352
214,28,7,0,0,0.007650852203369141
215,28,7,0,0,0.007536649703979492
216,28,7,0,0,0.010202169418334961
217,28,7,0,0,0.0077152252197265625
218,28,7,0,0,0.00791621208190918
219,28,7,0,0,0.0076503753662109375
220,28,7,0,0,0.007822036743164062
221,29,6,0,1,0.0078008174896240234
