step,completed_agents,J1,J2,blocked_agents,step_time
0,1,330,9,1,0.0016486644744873047
1,0,331,8,1,0.005020618438720703
2,0,331,8,1,0.005251884460449219
3,0,327,8,1,0.004921913146972656
4,0,327,8,1,0.003348827362060547
5,0,327,8,1,0.00541377067565918
6,0,323,8,1,0.006518363952636719
7,0,319,8,1,0.005196809768676758
8,0,295,8,29,0.0035529136657714844
9,1,292,8,1,0.005152702331542969
10,0,293,7,0,0.004926204681396484
11,0,293,7,0,0.0065460205078125
12,0,293,7,0,0.005233049392700195
13,0,293,7,0,0.005696773529052734
14,0,293,7,0,0.005268573760986328
15,0,293,7,0,0.0051767826080322266
16,0,293,7,0,0.00740504264831543
17,2,259,7,28,0.004918813705444336
18,2,252,6,3,0.004494428634643555
19,2,252,6,2,0.0012989044189453125
20,2,252,6,2,0.00960850715637207
21,2,252,6,2,0.005112886428833008
22,2,252,6,2,0.002282857894897461
23,2,252,6,2,0.001306295394897461
24,2,246,6,2,0.007331371307373047
25,2,240,6,2,0.005036115646362305
26,6,212,6,28,0.005709648132324219
27,5,213,5,5,0.00883030891418457
28,5,213,5,5,0.005386829376220703
29,4,213,5,4,0.005509138107299805
30,4,213,5,4,0.006143808364868164
31,3,213,5,4,0.0053310394287109375
32,2,213,5,3,0.00513458251953125
33,2,207,5,3,0.005749940872192383
34,2,207,5,3,0.0056765079498291016
35,5,169,5,25,0.005701541900634766
36,4,170,5,6,0.005593776702880859
37,4,169,5,7,0.00766301155090332
38,2,169,5,6,0.0025501251220703125
39,3,162,5,6,0.005495786666870117
40,3,161,5,5,0.006049394607543945
41,3,161,5,5,0.005218982696533203
42,3,161,5,5,0.005226612091064453
43,2,161,5,6,0.005321025848388672
44,3,144,5,22,0.005239963531494141
45,1,149,4,5,0.005568504333496094
46,2,148,4,8,0.005181550979614258
47,2,148,4,4,0.00521540641784668
48,4,146,4,6,0.005267143249511719
49,2,151,3,5,0.008703947067260742
50,2,147,3,5,0.005157947540283203
51,2,147,3,5,0.0055119991302490234
52,3,146,3,6,0.006043195724487305
53,4,129,3,21,0.005396604537963867
54,4,127,3,7,0.00556635856628418
55,7,118,3,10,0.005682229995727539
56,7,118,3,10,0.005973339080810547
57,7,118,3,12,0.005646228790283203
58,7,118,3,9,0.0058286190032958984
59,5,116,3,8,0.00572967529296875
60,5,116,3,8,0.005730867385864258
61,6,115,3,9,0.006388425827026367
62,9,106,3,21,0.005666971206665039
63,9,106,3,9,0.006497859954833984
64,9,106,3,9,0.0073795318603515625
65,8,100,3,10,0.004547834396362305
66,9,98,3,11,0.0017764568328857422
67,10,96,3,10,0.005974769592285156
68,10,92,3,7,0.00671076774597168
69,10,84,3,7,0.005690574645996094
70,9,84,3,8,0.005666017532348633
71,11,77,3,17,0.005681753158569336
72,12,77,3,8,0.007135868072509766
73,11,78,3,11,0.006688117980957031
74,10,78,3,10,0.005978584289550781
75,11,77,3,13,0.004628658294677734
76,12,75,3,12,0.0058307647705078125
77,13,67,3,9,0.006749629974365234
78,13,67,3,9,0.00647735595703125
79,12,63,3,9,0.0064160823822021484
80,14,59,3,15,0.006095409393310547
81,12,69,2,11,0.006041526794433594
82,11,83,1,13,0.00603032112121582
83,11,79,1,10,0.005749702453613281
84,12,75,1,12,0.00568842887878418
85,13,74,1,9,0.0058746337890625
86,11,83,0,7,0.005928754806518555
87,11,79,0,7,0.00581049919128418
88,11,69,0,7,0.0017933845520019531
89,12,59,0,11,0.005785465240478516
90,12,59,0,6,0.005892038345336914
91,13,57,0,8,0.003246784210205078
92,13,58,0,6,0.006005764007568359
93,13,58,0,7,0.006651163101196289
94,13,59,0,6,0.00603485107421875
95,13,54,0,6,0.008397817611694336
96,13,54,0,5,0.006528377532958984
97,12,54,0,4,0.0062541961669921875
98,13,52,0,8,0.005887746810913086
99,13,52,0,4,0.005883216857910156
100,14,50,0,6,0.006199836730957031
101,16,50,0,6,0.006122589111328125
102,17,48,0,6,0.006094932556152344
103,17,47,0,5,0.0060541629791259766
104,18,46,0,5,0.006056547164916992
105,19,45,0,4,0.006081342697143555
106,19,41,0,3,0.006155967712402344
107,19,38,0,6,0.0061795711517333984
108,19,38,0,3,0.0062639713287353516
109,19,37,0,4,0.006377458572387695
110,19,36,0,4,0.006622791290283203
111,20,35,0,5,0.006106853485107422
112,21,34,0,5,0.006522655487060547
113,20,35,0,4,0.0067501068115234375
114,20,35,0,3,0.0062601566314697266
115,20,35,0,3,0.01077890396118164
116,20,32,0,6,0.007829427719116211
117,20,32,0,3,0.006769895553588867
118,19,31,0,4,0.006498813629150391
119,18,31,0,5,0.006323814392089844
120,18,31,0,5,0.006261587142944336
121,18,30,0,6,0.007695436477661133
122,19,29,0,6,0.006423473358154297
123,19,29,0,5,0.006107330322265625
124,19,29,0,5,0.005354166030883789
125,20,26,0,8,0.006107330322265625
126,19,25,0,7,0.006378173828125
127,19,24,0,7,0.006334066390991211
128,19,24,0,6,0.006676435470581055
129,19,24,0,6,0.0061876773834228516
130,20,23,0,7,0.006873607635498047
131,20,23,0,5,0.006434202194213867
132,21,23,0,4,0.006510019302368164
133,21,23,0,4,0.006365299224853516
134,20,21,0,7,0.006323099136352539
135,19,20,0,7,0.006331443786621094
136,20,19,0,5,0.006197690963745117
137,20,19,0,4,0.0067462921142578125
138,20,19,0,4,0.001619100570678711
139,20,18,0,5,0.006697416305541992
140,19,18,0,5,0.00629734992980957
141,19,18,0,5,0.006203651428222656
142,19,18,0,5,0.006209850311279297
143,21,15,0,8,0.006205081939697266
144,22,14,0,5,0.002408742904663086
145,22,13,0,4,0.008439779281616211
146,22,13,0,4,0.00647282600402832
147,22,13,0,4,0.0070950984954833984
148,22,12,0,5,0.0063555240631103516
149,22,12,0,3,0.007580757141113281
150,22,12,0,3,0.006398439407348633
151,22,12,0,3,0.00786280632019043
152,23,10,0,5,0.0063991546630859375
153,24,9,0,4,0.0064563751220703125
154,24,9,0,3,0.0065860748291015625
155,24,9,0,3,0.00644993782043457
156,24,8,0,4,0.006650209426879883
157,25,7,0,5,0.009974479675292969
158,25,7,0,4,0.006593942642211914
159,25,5,0,4,0.006624460220336914
160,25,5,0,4,0.0067560672760009766
161,25,6,0,5,0.0026366710662841797
162,25,6,0,4,0.007619619369506836
163,25,6,0,4,0.006755352020263672
164,25,6,0,4,0.0036466121673583984
165,25,5,0,5,0.006787776947021484
166,25,5,0,3,0.0065670013427734375
167,25,5,0,3,0.006906986236572266
168,24,5,0,3,0.006659507751464844
169,24,5,0,3,0.006545305252075195
170,25,4,0,4,0.006462574005126953
171,25,4,0,2,0.007015228271484375
172,25,4,0,2,0.006928443908691406
173,25,4,0,2,0.007768154144287109
174,26,3,0,3,0.007013082504272461
175,26,3,0,1,0.011320829391479492
176,26,3,0,1,0.006575822830200195
177,26,3,0,1,0.0073854923248291016
178,26,3,0,1,0.009878396987915039
179,27,2,0,2,0.0030601024627685547
180,27,2,0,0,0.006771087646484375
181,27,2,0,0,0.0066187381744384766
182,27,2,0,0,0.007671356201171875
183,28,1,0,1,0.0069732666015625
184,28,1,0,0,0.006895542144775391
185,28,1,0,0,0.006846904754638672
186,28,1,0,0,0.007160186767578125
187,28,1,0,0,0.006857156753540039
188,29,0,0,1,0.006701469421386719
189,29,0,0,0,0.0073528289794921875
190,29,0,0,0,0.006741046905517578
191,29,0,0,0,0.0072956085205078125
192,29,0,0,0,0.007890701293945312
193,29,0,0,0,0.006916522979736328
194,29,0,0,0,0.006919384002685547
195,29,0,0,0,0.00757908821105957
196,29,0,0,0,0.0068514347076416016
197,29,0,0,0,0.0032198429107666016
198,29,0,0,0,0.006562948226928711
199,29,0,0,0,0.007090568542480469
200,29,0,0,0,0.006804466247558594
201,29,0,0,0,0.008806467056274414
202,29,0,0,0,0.011346578598022461
203,29,0,0,0,0.007697105407714844
204,29,0,0,0,0.00914764404296875
205,29,0,0,0,0.007269859313964844
206,29,0,0,0,0.008800268173217773
207,29,0,0,0,0.007429361343383789
208,29,0,0,0,0.0069806575775146484
209,29,0,0,0,0.006743669509887695
210,29,0,0,0,0.003165006637573242
211,29,0,0,0,0.007447957992553711
212,29,0,0,0,0.0074694156646728516
213,29,0,0,0,0.00830984115600586
214,29,0,0,0,0.007020473480224609
215,29,0,0,0,0.006844997406005859
216,29,0,0,0,0.007242441177368164
217,29,0,0,0,0.0069942474365234375
218,29,0,0,0,0.003746509552001953
219,29,0,0,0,0.006720781326293945
220,29,0,0,0,0.006730794906616211
221,29,0,0,0,0.006907463073730469
222,29,0,0,0,0.006741762161254883
223,29,0,0,0,0.007037162780761719
224,29,0,0,0,0.0071222782135009766
225,29,0,0,0,0.00679469108581543
226,29,0,0,0,0.00740814208984375
227,29,0,0,0,0.006747722625732422
228,29,0,0,0,0.0068628787994384766
229,29,0,0,0,0.007192850112915039
230,29,0,0,0,0.010075092315673828
231,29,0,0,0,0.006757259368896484
232,29,0,0,0,0.006058931350708008
233,29,0,0,0,0.006857395172119141
234,29,0,0,0,0.006871938705444336
235,29,0,0,0,0.008854866027832031
236,29,0,0,0,0.008751869201660156
237,29,0,0,0,0.007535219192504883
238,29,0,0,0,0.007050752639770508
239,29,0,0,0,0.008818864822387695
240,29,0,0,0,0.007940530776977539
241,29,0,0,0,0.007025957107543945
242,29,0,0,0,0.0071370601654052734
243,29,0,0,0,0.007053375244140625
244,29,0,0,0,0.0073244571685791016
245,29,0,0,0,0.009015560150146484
246,29,0,0,0,0.0070688724517822266
247,29,0,0,0,0.0074062347412109375
248,29,0,0,0,0.007113456726074219
249,29,0,0,0,0.008373260498046875
250,29,0,0,0,0.00864100456237793
